Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,25,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,25,14,F:Microsoft.Maui.Controls.BindingMode.OneWayToSource,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,17,2,T:Microsoft.Maui.Controls.BindableProperty,,,,,"private static bool ShouldUseSetter(BindingMode mode, BindableProperty bindableProperty)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,17,2,T:Microsoft.Maui.Controls.BindingMode,,,,,"private static bool ShouldUseSetter(BindingMode mode, BindableProperty bindableProperty)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,22,48,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,22,48,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,22,48,F:Microsoft.Maui.Controls.BindingMode.TwoWay,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,22,9,T:Microsoft.Maui.Controls.BindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,22,9,P:Microsoft.Maui.Controls.BindableProperty.DefaultBindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,21,48,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,21,48,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,21,48,F:Microsoft.Maui.Controls.BindingMode.OneWayToSource,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,21,9,T:Microsoft.Maui.Controls.BindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,21,9,P:Microsoft.Maui.Controls.BindableProperty.DefaultBindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,20,16,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,20,16,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,20,16,F:Microsoft.Maui.Controls.BindingMode.Default,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,19,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,19,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,19,15,F:Microsoft.Maui.Controls.BindingMode.TwoWay,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,18,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,18,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/obj/Debug/net9.0-android/Microsoft.Maui.Controls.BindingSourceGen/Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator/GeneratedBindingInterceptorsCommon.g.cs,18,14,F:Microsoft.Maui.Controls.BindingMode.OneWayToSource,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,72,12,T:Microsoft.Maui.Storage.Preferences,,,,,"Preferences.Set(""lastPlayers"", playersJson);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,72,12,"M:Microsoft.Maui.Storage.Preferences.Set(System.String,System.String)",,,,,"Preferences.Set(""lastPlayers"", playersJson);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,54,12,T:Microsoft.Maui.Storage.Preferences,,,,,"var playersJson = Preferences.Get(""lastPlayers"", string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,54,12,"M:Microsoft.Maui.Storage.Preferences.Get(System.String,System.String)",,,,,"var playersJson = Preferences.Get(""lastPlayers"", string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,46,8,T:Microsoft.Maui.Storage.Preferences,,,,,"Preferences.Set(""lastGameName"", gameName ?? string.Empty);"
